name	LFID	ontology_acronym	xref_id	xref_definition
environmental exposures	LFID:0000005	MESH	http://purl.bioontology.org/ontology/MESH/D004781	The exposure to potentially harmful chemical, physical, or biological agents in the environment or to environmental factors that may include ionizing radiation, pathogenic organisms, or toxic chemicals.
environmental exposures	LFID:0000005	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16552	Exposure to potentially harmful chemical, physical, or biological agents via the environment.
environmental exposures	LFID:0000005	MDM	http://id.nlm.nih.gov/mesh/D004781	
environmental factors	LFID:0000005	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19688	Environmental factors considered as variables in disease incident, transmission, and control.
environmental factors	LFID:0000005	MEPO	http://www.semanticweb.org/rjyy/ontologies/2015/5/ESSO#Environmental_Factors	
leisure	LFID:0000008	LOINC	http://purl.bioontology.org/ontology/LNC/LA9374-5	
leisure	LFID:0000008	CRISP	http://purl.bioontology.org/ontology/CSP/2120-4464	freedom provided by the cessation of activities, especially time free from work or duties.
leisure	LFID:0000008	MDM	http://id.nlm.nih.gov/mesh/D007899	
leisure	LFID:0000008	MESH	http://purl.bioontology.org/ontology/MESH/D007899	Voluntary use of free time for activities outside the daily routine.
leisure	LFID:0000008	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86566	Time used for ease and relaxation.
leisure	LFID:0000008	GSSO	http://purl.obolibrary.org/obo/GSSO_008527	Voluntary use of free time for activities outside the daily routine.
leisure	LFID:0000008	BERO	http://purl.obolibrary.org/obo/ENVO_01001443	A planned environmental usage process during which humans access an environment in order to promote the refreshment of their physical and psychological health through relaxation and leisure activities.
leisure time	LFID:0000008	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86566	Time used for ease and relaxation.
recreational activities	LFID:0000008	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148226	A question about to what extent an individual's breast cancer treatment has disrupted their recreational activities.
physical activities	LFID:0000011	MESH	http://purl.bioontology.org/ontology/MESH/D015444	A single bout of exercise.
physical activities	LFID:0000011	MDM	http://id.nlm.nih.gov/mesh/D015444	
exercise activity	LFID:0000011	LOINC	http://purl.bioontology.org/ontology/LNC/LP173557-2	
exercise activity	LFID:0000011	LOINC	http://purl.bioontology.org/ontology/LNC/MTHU047313	
exercise activity	LFID:0000011	LOINC	http://purl.bioontology.org/ontology/LNC/73985-4	
exercising	LFID:0000011	LOINC	http://purl.bioontology.org/ontology/LNC/LA33517-6	
physical activity	LFID:0000011	LOINC	http://purl.bioontology.org/ontology/LNC/MTHU017278	
physical activity	LFID:0000011	LOINC	http://purl.bioontology.org/ontology/LNC/MTHU048827	
physical activity	LFID:0000011	LOINC	http://purl.bioontology.org/ontology/LNC/LP34367-0	
physical activity	LFID:0000011	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/68130003	
physical activity	LFID:0000011	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17708	Any form of exercise or movement. Physical activity may include planned activity such as walking, running, basketball, or other sports. Physical activity may also include other daily activities such as household chores, yard work, walking the dog, etc.
physical activity	LFID:0000011	HHEAR	http://purl.obolibrary.org/obo/NCIT_C17708	
physical activity	LFID:0000011	GSSO	http://purl.obolibrary.org/obo/NCIT_C17708	Any form of exercise or movement. Physical activity may include planned activity such as walking, running, basketball, or other sports. Physical activity may also include other daily activities such as household chores, yard work, walking the dog, etc.
physical activity	LFID:0000011	EXMO	http://purl.obolibrary.org/obo/exm.owl/EXM_000000000014	
physical activity	LFID:0000011	MIDO	https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001705	
physical activity	LFID:0000011	BERO	http://purl.obolibrary.org/obo/MESH_D015444	
physical activity	LFID:0000011	MESH	http://purl.bioontology.org/ontology/MESH/D015444	A single bout of exercise.
physical activity	LFID:0000011	MDM	http://id.nlm.nih.gov/mesh/D015444	
physical exercise	LFID:0000011	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/61686008	
physical exercise	LFID:0000011	MIDO	https://bioportal.bioontology.org/ontologies/DMTO.owl#DMTO_0001828	
physical exercise	LFID:0000011	MESH	http://purl.bioontology.org/ontology/MESH/D015444	A single bout of exercise.
physical exercise	LFID:0000011	MDM	http://id.nlm.nih.gov/mesh/D015444	
physical exercise	LFID:0000011	EXMO	http://purl.obolibrary.org/obo/emo.owl/EXM_000000000001	Physical activity which is usually regular and done with the intention of improving or maintaining physical fitness or health.
physical fitness	LFID:0000011	MESH	http://purl.bioontology.org/ontology/MESH/D010809	The ability to carry out daily tasks and perform physical activities in a highly functional state, often as a result of physical conditioning.
physical fitness	LFID:0000011	MEDLINEPLUS	http://purl.bioontology.org/ontology/MEDLINEPLUS/C0031812	
physical fitness	LFID:0000011	CRISP	http://purl.bioontology.org/ontology/CSP/1385-2518	state of well-being in which performance is optimal, often as a result of physical conditioning which may be prescribed for disease therapy.
physical fitness	LFID:0000011	BERO	http://purl.obolibrary.org/obo/MESH_D010809	
physical fitness	LFID:0000011	MDM	http://id.nlm.nih.gov/mesh/D010809	
physical fitness	LFID:0000011	EXMO	http://purl.obolibrary.org/obo/exm.owl/EXM_000000000139	The ability to carry out daily tasks and perform physical activities in a highly functional state, often as a result of physical conditioning.
personal life	LFID:0000012	GSSO	http://purl.obolibrary.org/obo/GSSO_006774	Personal life is the course of an individual's life, especially when viewed as the sum of personal choices contributing to one's personal identity.
sleep	LFID:0000013	RCD	http://purl.bioontology.org/ontology/RCD/X7A2s	
sleep	LFID:0000013	LOINC	http://purl.bioontology.org/ontology/LNC/LA18125-7	
sleep	LFID:0000013	MESH	http://purl.bioontology.org/ontology/MESH/D012890	A readily reversible suspension of sensorimotor interaction with the environment, usually associated with recumbency and immobility.
sleep	LFID:0000013	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/258158006	
sleep	LFID:0000013	CRISP	http://purl.bioontology.org/ontology/CSP/2482-1824	period of rest for the body and mind during which volition and consciousness are in partial or complete abeyance and bodily functions are partially suspended; a behavioral state marked by a characteristic immobile posture and diminished but readily reversible sensitivity to external stimuli.
sleep	LFID:0000013	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73425	A natural and periodic state of rest during which consciousness of the world is suspended.
sleep	LFID:0000013	PLANP	http://purl.obolibrary.org/obo/GO_0030431	Any process in which an organism enters and maintains a periodic, readily reversible state of reduced awareness and metabolic activity. Usually accompanied by physical relaxation, the onset of sleep in humans and other mammals is marked by a change in the electrical activity of the brain.
sleep	LFID:0000013	BERO	http://purl.obolibrary.org/obo/GO_0030431	Any process in which an organism enters and maintains a periodic, readily reversible state of reduced awareness and metabolic activity. Usually accompanied by physical relaxation, the onset of sleep in humans and other mammals is marked by a change in the electrical activity of the brain.
sleep	LFID:0000013	BERO	http://purl.obolibrary.org/obo/MESH_D012890	
sleep	LFID:0000013	BERO	http://purl.obolibrary.org/obo/NCIT_C73425	A natural and periodic state of rest during which consciousness of the world is suspended.
sleep	LFID:0000013	EXMO	http://purl.obolibrary.org/obo/exm.owl/EXM_000000000163	A readily reversible suspension of sensorimotor interaction with the environment, usually associated with recumbency and immobility.
sleep	LFID:0000013	PMAPP-PMO	http://www.phoc.org.cn/pmo/class/PMO_00069366	"""Any process in which an organism enters and maintains a periodic, readily reversible state of reduced awareness and metabolic activity. Usually accompanied by physical relaxation, the onset of sleep in humans and other mammals is marked by a change in the electrical activity of the brain."" [ISBN:0192800981]"
sleep	LFID:0000013	MDM	http://id.nlm.nih.gov/mesh/D012890	
sleep	LFID:0000013	COSTART	http://purl.bioontology.org/ontology/CST/SLEEP%20DIS	
socioeconomic factors	LFID:0000014	MESH	http://purl.bioontology.org/ontology/MESH/D012959	Social and economic factors that characterize the individual or group within the social structure.
socioeconomic factors	LFID:0000014	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17468	Characteristics of a person such as education and occupation, used to describe the person's position in stratification systems, access to services, etc.
socioeconomic factors	LFID:0000014	MDM	http://id.nlm.nih.gov/mesh/D012959	
almond oil	LFID:0000016	VANDF	http://purl.bioontology.org/ontology/VANDF/4024419	
almond oil	LFID:0000016	VANDF	http://purl.bioontology.org/ontology/VANDF/4009800	
almond oil	LFID:0000016	RCD	http://purl.bioontology.org/ontology/RCD/l711.	
almond oil	LFID:0000016	MESH	http://purl.bioontology.org/ontology/MESH/C068582	
almond oil	LFID:0000016	NDFRT	http://purl.bioontology.org/ontology/NDFRT/N0000037332	
almond oil	LFID:0000016	NDDF	http://purl.bioontology.org/ontology/NDDF/002577	
almond oil	LFID:0000016	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/391737006	
almond oil	LFID:0000016	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1305638	
almond oil	LFID:0000016	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107259	The oil extracted from the seed fruits of Prunus amygdalus. Almond oil is typically used as a skin emollient and for massage.
almond oil	LFID:0000016	BERO	http://purl.obolibrary.org/obo/NCIT_C107259	The oil extracted from the seed fruits of Prunus amygdalus. Almond oil is typically used as a skin emollient and for massage.
almond oil	LFID:0000016	FOODON	http://purl.obolibrary.org/obo/FOODON_03311437	"SIREN DB annotation:
* liquid, high viscosity, with no visible particles FOODON:03430139
* fully heat-treated FOODON:03440014
* fat or oil FOODON:03420190"
almond oil	LFID:0000016	NDFRT	http://purl.bioontology.org/ontology/NDFRT/N0000007069	
almond oil	LFID:0000016	NDFRT	http://purl.bioontology.org/ontology/NDFRT/N0000157755	
antiperspirant	LFID:0000019	MESH	http://purl.bioontology.org/ontology/MESH/D051520	Agents that are put on the SKIN to reduce SWEATING or prevent excess sweating (HYPERHIDROSIS).
antiperspirant	LFID:0000019	MDM	http://id.nlm.nih.gov/mesh/D051520	
cleaning products	LFID:0000021	MEDLINEPLUS	http://purl.bioontology.org/ontology/MEDLINEPLUS/C1456563	
coumarin	LFID:0000023	RCD	http://purl.bioontology.org/ontology/RCD/XM0ln	
coumarin	LFID:0000023	MESH	http://purl.bioontology.org/ontology/MESH/C030123	
coumarin	LFID:0000023	NDDF	http://purl.bioontology.org/ontology/NDDF/005531	
coumarin	LFID:0000023	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/766936008	
coumarin	LFID:0000023	PDQ	http://purl.bioontology.org/ontology/PDQ/CDR0000042491	"O hydroxycinnamic acid. Pleasant smelling compound found in many plants and released on wilting. Has anticoagulant activity by competing with Vitamin K. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C397"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C397"" NCI Thesaurus)"
coumarin	LFID:0000023	RXNORM	http://purl.bioontology.org/ontology/RXNORM/2898	
coumarin	LFID:0000023	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C397	O hydroxycinnamic acid. Pleasant smelling compound found in many plants and released on wilting. Has anticoagulant activity by competing with Vitamin K.
coumarin	LFID:0000023	BERO	http://purl.obolibrary.org/obo/NCIT_C397	O hydroxycinnamic acid. Pleasant smelling compound found in many plants and released on wilting. Has anticoagulant activity by competing with Vitamin K.
coumarin	LFID:0000023	BERO	http://purl.obolibrary.org/obo/CHEBI_28794	A chromenone having the keto group located at the 2-position.
coumarin	LFID:0000023	FOBI	http://purl.obolibrary.org/obo/fobi.owl#FOBI:050330	
coumarin	LFID:0000023	CDNO	http://purl.obolibrary.org/obo/CHEBI_28794	A chromenone having the keto group located at the 2-position.
coumarin	LFID:0000023	TXPO	http://purl.obolibrary.org/obo/CHEBI_28794	A chromenone having the keto group located at the 2-position.
coumarin	LFID:0000023	MDM	https://go.drugbank.com/drugs/DB04665	
coumarin	LFID:0000023	FOODON	http://purl.obolibrary.org/obo/CHEBI_28794	A chromenone having the keto group located at the 2-position.
coumarin	LFID:0000023	HOIP	http://purl.obolibrary.org/obo/CHEBI_28794	A chromenone having the keto group located at the 2-position.
coumarin	LFID:0000023	CRISP	http://purl.bioontology.org/ontology/CSP/0396-9325	oxygen containing heterocyclic compound, obtainable naturally from several plants, or produced synthetically from an amino acid of phenylalanine; it is used for the preparation of drugs especially anticoagulants such as bishydroxycoumarin (dicoumarol) and warfarin (coumadin); coumarin glycosides such as dicoumarol and warfarin, are widely used as rodenticides.
coumarin	LFID:0000023	MDM	http://id.nlm.nih.gov/mesh/D003374	
deodorant	LFID:0000024	VANDF	http://purl.bioontology.org/ontology/VANDF/4023853	
deodorant	LFID:0000024	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/39432004	
deodorant	LFID:0000024	MESH	http://purl.bioontology.org/ontology/MESH/D003836	Agents that remove, correct, repress, or mask undesirable ODORANTS. In personal hygiene, deodorants often contain astringent preparations that reduce SWEATING, referred to as ANTIPERSPIRANTS. (From Grant & Hackh's Chemical Dictionary, 5th ed)
deodorant	LFID:0000024	MDM	http://id.nlm.nih.gov/mesh/D003836	
DEP	LFID:0000025	MESH	http://purl.bioontology.org/ontology/MESH/C007268	
DEP	LFID:0000025	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76749	A clear, colorless liquid used as a plasticizer for fabricating flexible materials for many household products. It is also used in cosmetics, insecticides and aspirin.
DEP	LFID:0000025	BERO	http://purl.obolibrary.org/obo/CHEBI_34698	The diethyl ester of benzene-1,2-dicarboxylic acid.
DEP	LFID:0000025	HHEAR	http://purl.org/twc/HHEAR_00432	
fluoridation	LFID:0000026	MESH	http://purl.bioontology.org/ontology/MESH/D005457	Practice of adding fluoride to water, and other food or beverages, for the purpose of preventing tooth decay and tooth cavities.
fluoridation	LFID:0000026	CRISP	http://purl.bioontology.org/ontology/CSP/1374-1277	incorporation or addition of fluoride in a compound.
fluoridation	LFID:0000026	BERO	http://purl.obolibrary.org/obo/MESH_D005457	
fluoridation	LFID:0000026	MDM	http://id.nlm.nih.gov/mesh/D005457	
fluoride toothpaste	LFID:0000028	RCD	http://purl.bioontology.org/ontology/RCD/X90Ia	
toothpaste	LFID:0000028	RCD	http://purl.bioontology.org/ontology/RCD/X90Ly	
toothpaste	LFID:0000028	NDDF	http://purl.bioontology.org/ontology/NDDF/KT	
toothpaste	LFID:0000028	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/385097007	
toothpaste	LFID:0000028	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/48741003	
toothpaste	LFID:0000028	RXNORM	http://purl.bioontology.org/ontology/RXNORM/10652	
toothpaste	LFID:0000028	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73516	A substance in paste form containing abrasives used to clean the tooth surface.
toothpaste	LFID:0000028	BERO	http://purl.obolibrary.org/obo/NCIT_C73516	A substance in paste form containing abrasives used to clean the tooth surface.
toothpaste	LFID:0000028	BERO	http://purl.obolibrary.org/obo/MESH_D014100	
toothpaste	LFID:0000028	MESH	http://purl.bioontology.org/ontology/MESH/D014100	Dentifrices that are formulated into a paste form. They typically contain abrasives, HUMECTANTS; DETERGENTS; FLAVORING AGENTS; and CARIOSTATIC AGENTS.
toothpaste	LFID:0000028	NDDF	http://purl.bioontology.org/ontology/NDDF/004553	
toothpaste	LFID:0000028	NDFRT	http://purl.bioontology.org/ontology/NDFRT/N0000135791	
toothpaste	LFID:0000028	NDFRT	http://purl.bioontology.org/ontology/NDFRT/N0000171562	
toothpaste	LFID:0000028	CRISP	http://purl.bioontology.org/ontology/CSP/0839-2913	preparations used for cleansing teeth; they usually contain an abrasive, detergent, binder and flavoring agent and may exist in the form of liquid, paste or powder; may also contain medication and caries preventives.
toothpaste	LFID:0000028	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91186	A paste intended for administration to the teeth.
toothpaste	LFID:0000028	MDM	http://id.nlm.nih.gov/mesh/D014100	
hair dye	LFID:0000029	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/412145001	
hair dye	LFID:0000029	MESH	http://purl.bioontology.org/ontology/MESH/D006202	Dyes used as cosmetics to change hair color either permanently or temporarily.
hair dye	LFID:0000029	MDM	http://id.nlm.nih.gov/mesh/D006202	
detergent	LFID:0000031	RCD	http://purl.bioontology.org/ontology/RCD/XC0Q1	
detergent	LFID:0000031	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/264299001	
detergent	LFID:0000031	CRISP	http://purl.bioontology.org/ontology/CSP/2323-0240	purifying or cleansing agents, usually salts of long-chain aliphatic bases or acids, that exert cleansing (oil-dissolving) and antimicrobial effects through a surface action that depends on possessing both hydrophilic and hydrophobic properties.
detergent	LFID:0000031	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C122626	A water-soluble surfactant that functions to emulsify oils and hold dirt in suspension.
detergent	LFID:0000031	BERO	http://purl.obolibrary.org/obo/CHEBI_27780	A surfactant (or a mixture containing one or more surfactants) having cleaning properties in dilute solutions.
detergent	LFID:0000031	BERO	http://purl.obolibrary.org/obo/NCIT_C122626	A water-soluble surfactant that functions to emulsify oils and hold dirt in suspension.
detergent	LFID:0000031	MAXO	http://purl.obolibrary.org/obo/CHEBI_27780	A surfactant (or a mixture containing one or more surfactants) having cleaning properties in dilute solutions.
detergent	LFID:0000031	MESH	http://purl.bioontology.org/ontology/MESH/D003902	Single-use containers of detergent used for laundry and dish washing.
detergent	LFID:0000031	MDM	http://id.nlm.nih.gov/mesh/D003902	
hygiene	LFID:0000032	LOINC	http://purl.bioontology.org/ontology/LNC/LA21675-6	
hygiene	LFID:0000032	MESH	http://purl.bioontology.org/ontology/MESH/D006920	The science dealing with the establishment and maintenance of health in the individual and the group. It includes the conditions and practices conducive to health. (Webster, 3d ed)
hygiene	LFID:0000032	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89798	The science concerned with the prevention of illness and maintenance of health.
hygiene	LFID:0000032	GSSO	http://purl.obolibrary.org/obo/GSSO_008566	The science concerned with the prevention of illness and maintenance of health.
hygiene	LFID:0000032	BERO	http://purl.obolibrary.org/obo/MESH_D006920	
hygiene	LFID:0000032	MDM	http://id.nlm.nih.gov/mesh/D006920	
hygiene	LFID:0000032	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C130976	A response indicating that an individual needs help from another person for hygiene.
sanitation	LFID:0000032	MESH	http://purl.bioontology.org/ontology/MESH/D012499	The development and establishment of environmental conditions favorable to the health of the public.
sanitation	LFID:0000032	BERO	http://purl.obolibrary.org/obo/MESH_D012499	
sanitation	LFID:0000032	MDM	http://id.nlm.nih.gov/mesh/D012499	
sanitation	LFID:0000032	CRISP	http://purl.bioontology.org/ontology/CSP/1461-1741	efforts to prevent transmission of infections originating in the hospital.
sanitation	LFID:0000032	CRISP	http://purl.bioontology.org/ontology/CSP/1035-8396	protection of the environment by policies, procedures, facilities, programs, and equipment which abate and control pollution in the areas of air, water, solid waste, noise, radiation, and toxic substances.
dental health	LFID:0000032	MEDLINEPLUS	http://purl.bioontology.org/ontology/MEDLINEPLUS/C0029162	"<p>It's important to take care of your mouth and teeth starting in <a href=""https://medlineplus.gov/childdentalhealth.html"">childhood</a>. If you don't, you could have problems with your <a href=""https://medlineplus.gov/toothdisorders.html"">teeth</a> and <a href=""https://medlineplus.gov/gumdisease.html"">gums</a> - like <a href=""https://medlineplus.gov/toothdecay.html"">cavities</a> or even tooth loss. </p> <p>Here's how to keep your mouth and teeth healthy:</p> <ul> <li>Brush your teeth twice a day with a fluoride toothpaste</li> <li>Clean between your teeth every day with floss or another type of between-the-teeth cleaner</li> <li>Snack smart - limit sugary snacks</li> <li>Don't smoke or chew tobacco</li> <li>See your dentist or oral health professional regularly</li> </ul> <p class="""">NIH: National Institute of Dental and Craniofacial Research</p>"
dental health	LFID:0000032	CRISP	http://purl.bioontology.org/ontology/CSP/0830-3009	for thorough searching also see DENTISTRY.
dental hygiene	LFID:0000032	BERO	http://purl.obolibrary.org/obo/MESH_D009910	
dental hygiene	LFID:0000032	MESH	http://purl.bioontology.org/ontology/MESH/D009910	The practice of personal hygiene of the mouth. It includes the maintenance of oral cleanliness, tissue tone, and general preservation of oral health.
dental hygiene	LFID:0000032	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/110298001	
dental hygiene	LFID:0000032	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60725	The practice of keeping the mouth, teeth, and gums clean and healthy to prevent disease, as by regular brushing and flossing and visits to a dentist.
dental hygiene	LFID:0000032	MDM	http://id.nlm.nih.gov/mesh/D009910	
hand hygiene	LFID:0000032	MESH	http://purl.bioontology.org/ontology/MESH/D063373	Practices involved in preventing the transmission of diseases by hand.
hand hygiene	LFID:0000032	BERO	http://purl.obolibrary.org/obo/MESH_D063373	
hand hygiene	LFID:0000032	MDM	http://id.nlm.nih.gov/mesh/D063373	
oral care	LFID:0000032	LOINC	http://purl.bioontology.org/ontology/LNC/LA18001-0	
oral care	LFID:0000032	LOINC	http://purl.bioontology.org/ontology/LNC/LP34948-7	
oral hygiene	LFID:0000032	MEDDRA	http://purl.bioontology.org/ontology/MEDDRA/10063390	
oral hygiene	LFID:0000032	MESH	http://purl.bioontology.org/ontology/MESH/D009910	The practice of personal hygiene of the mouth. It includes the maintenance of oral cleanliness, tissue tone, and general preservation of oral health.
oral hygiene	LFID:0000032	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60725	The practice of keeping the mouth, teeth, and gums clean and healthy to prevent disease, as by regular brushing and flossing and visits to a dentist.
oral hygiene	LFID:0000032	BERO	http://purl.obolibrary.org/obo/MESH_D009910	
oral hygiene	LFID:0000032	MDM	http://id.nlm.nih.gov/mesh/D009910	
oral hygiene	LFID:0000032	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/717778001	
personal hygiene	LFID:0000032	LOINC	http://purl.bioontology.org/ontology/LNC/MTHU013544	
personal hygiene	LFID:0000032	LOINC	http://purl.bioontology.org/ontology/LNC/LP75376-1	
personal hygiene	LFID:0000032	MEDDRA	http://purl.bioontology.org/ontology/MEDDRA/10080667	
personal hygiene	LFID:0000032	GSSO	http://purl.obolibrary.org/obo/GSSO_008567	Maintaining the body's cleanliness.
linalool	LFID:0000033	NDDF	http://purl.bioontology.org/ontology/NDDF/007181	
linalool	LFID:0000033	MESH	http://purl.bioontology.org/ontology/MESH/C018584	
linalool	LFID:0000033	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/259120001	
linalool	LFID:0000033	BERO	http://purl.obolibrary.org/obo/CHEBI_17580	A monoterpenoid that is octa-1,6-diene substituted by methyl groups at positions 3 and 7 and a hydroxy group at position 3. It has been isolated from plants like Ocimum canum.
linalool	LFID:0000033	RCD	http://purl.bioontology.org/ontology/RCD/X808T	
personal care products	LFID:0000035	MDM	http://id.nlm.nih.gov/mesh/D003358	
personal care products	LFID:0000035	MESH	http://purl.bioontology.org/ontology/MESH/D003358	Products that are cosmetics and products that are both a cosmetic and a drug, such as dandruff shampoo, fluoride containing toothpastes, antiperspirant deodorants, and moisturizers and makeup containing sunscreen.
sulfate	LFID:0000042	VANDF	http://purl.bioontology.org/ontology/VANDF/4018701	
sulfate	LFID:0000042	LOINC	http://purl.bioontology.org/ontology/LNC/MTHU003695	
sulfate	LFID:0000042	LOINC	http://purl.bioontology.org/ontology/LNC/LP15874-8	
sulfate	LFID:0000042	NDFRT	http://purl.bioontology.org/ontology/NDFRT/N0000022458	
sulfate	LFID:0000042	CRISP	http://purl.bioontology.org/ontology/CSP/2834-7855	the anion or group SO4--.
sulfate	LFID:0000042	HHEAR	http://purl.obolibrary.org/obo/CHEBI_16189	A sulfur oxoanion obtained by deprotonation of both OH groups of sulfuric acid.
sulfate	LFID:0000042	BERO	http://purl.obolibrary.org/obo/CHEBI_16189	A sulfur oxoanion obtained by deprotonation of both OH groups of sulfuric acid.
sulfate	LFID:0000042	MAXO	http://purl.obolibrary.org/obo/CHEBI_16189	A sulfur oxoanion obtained by deprotonation of both OH groups of sulfuric acid.
sulfate	LFID:0000042	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C122153	The determination of the amount of sulfate present in a sample.
sulfate	LFID:0000042	MESH	http://purl.bioontology.org/ontology/MESH/D013431	Inorganic salts of sulfuric acid.
sulfate	LFID:0000042	MDM	https://go.drugbank.com/drugs/DB14546	
sulfate	LFID:0000042	MDM	http://id.nlm.nih.gov/mesh/D013431	
sulphates	LFID:0000042	RCD	http://purl.bioontology.org/ontology/RCD/X8076	
